title,new title
Acidon 1250,Acidon 1250 - Low Dilution Cleaner for Copper Alloys
Acidon 848,Acidon 848 - Cleaner for Copper Alloys
Aluminex 5761,Aluminex 5761 - Non-Etching Aluminum Cleaner for Radiator Parts
Aluminex 5834,Aluminex 5834 - Non-Etching Aluminum Cleaner
Aluminex 602,Aluminex 602 - Low pH Protective Spray Cleaner for Metal
AutoGeneral Car Wash Shampoo,Auto General Car Wash Shampoo - Biodegradable Automotive Soap for a Safe Effective Clean
AutoGeneral Anti Fog Glass Cleaner,"AutoGeneral Anti Fog Glass Cleaner - Clear and Protect Windows for Cars, Planes, and More"
AutoGeneral Anti Squeak,"AutoGeneral Anti Squeak - Lubricant for Car Doors, Interiors, Seats, and More"
AutoGeneral Degreaser,AutoGeneral Degreaser - Liquid Car Degreaser
AutoGeneral Exterior Shine,AutoGeneral Exterior Shine - Full Body Car Polish
AutoGeneral GCC 710 Concentrated Alkaline Vehicle Wash,AutoGeneral GCC 710 Concentrated Alkaline Vehicle Wash - Paint Safe Car Detailing Soap
AutoGeneral Glass Cleaner 5620,AutoGeneral Glass Cleaner 5620 - Streak Free Window and Windshield Power Cleaning
AutoGeneral Interior Shine,"AutoGeneral Interior Shine - Car Cleaner and Shine for Vinyl, Rubber, and Plastic"
AutoGeneral® GCC 503,"AutoGeneral Non-Etching Aluminum Cleaner - Safe, No-Stain Cleaner and Rust Remover"
AutoGeneral Tire Shine Solvent Based,"AutoGeneral Tire Shine - Solvent Based Protection from Fading, Cracking and Sun"
AutoGeneral Tire Shine Water Based,"AutoGeneral Tire Shine - Water Based Non-Greasy Protection from Fading, Cracking and Sun"
AutoGeneral Truck Wash Soap 2440,AutoGeneral Truck Wash Soap 2440 - Heavy Duty Industrial Shampoo for a Biodegradable Effective Clean
AutoGeneral True Grit Hand Cleaner,AutoGeneral True Grit Hand Cleaner - Heavy-Duty Industrial Waterless Cleaner
Bilge Clean 9770,Bilge Clean 9770 - Bilge Cleaner for Boats
BoatProtect 1680,"BoatProtect 1680 - Temporary Coating for Boat Hull, Glass, Wood, and More"
Booth Coat 1780,"Booth Coat 1780 - Clear Protective Barrier for Grates, Floors, and Walls"
Booth Grease 2 Blue,Booth Grease 2 Blue - Protective Paint Coating for Heavy Overspray
Booth Grease 2374 Red,Booth Grease 2374 Red - Protective Paint Coating for Heavy Overspray
Booth Grease 3151 Green,Booth Grease 3151 Green - Protective Paint Coating for Heavy Overspray
Booth Grease 4550 Gold,Booth Grease 4550 Gold - Protective Paint Coating for Heavy Overspray
